index, ,Label,Angle,Median,Class_nb,Pitch,Strain
0,1,run_it025_classes.mrcs:z:1/30 - run_it025_classes.mrcs,-7.319019,0.027197000000000002,1,38.83,WT
1,2,run_it025_classes.mrcs:z:1/30 - run_it025_classes.mrcs,-8.481606,0.000692,1,40.73,WT
2,3,run_it025_classes.mrcs:z:1/30 - run_it025_classes.mrcs,-11.309932,0.037064,1,39.63999999999999,WT
3,4,run_it025_classes.mrcs:z:1/30 - run_it025_classes.mrcs,-10.83008,-0.068289,1,41.37,WT
4,5,run_it025_classes.mrcs:z:1/30 - run_it025_classes.mrcs,-10.474235,0.026279000000000004,1,42.75999999999999,WT
5,6,run_it025_classes.mrcs:z:1/30 - run_it025_classes.mrcs,-8.852003999999999,0.005637,1,43.63,WT
6,7,run_it025_classes.mrcs:z:1/30 - run_it025_classes.mrcs,-10.491477,0.06104,1,38.81,WT
7,8,run_it025_classes.mrcs:z:3/30 - run_it025_classes.mrcs,0.0,-0.0018039999999999998,3,40.28,WT
8,9,run_it025_classes.mrcs:z:3/30 - run_it025_classes.mrcs,0.54051,-0.007266,3,37.45,WT
9,10,run_it025_classes.mrcs:z:3/30 - run_it025_classes.mrcs,0.9548409999999999,0.041947000000000005,3,42.41,WT
10,11,run_it025_classes.mrcs:z:3/30 - run_it025_classes.mrcs,-0.498212,-0.037725999999999996,3,40.63000000000001,WT
11,12,run_it025_classes.mrcs:z:3/30 - run_it025_classes.mrcs,-0.498212,0.10538299999999999,3,40.63000000000001,WT
12,13,run_it025_classes.mrcs:z:3/30 - run_it025_classes.mrcs,-0.9710219999999999,0.066427,3,41.7,WT
13,14,run_it025_classes.mrcs:z:5/30 - run_it025_classes.mrcs,0.0,-0.09919800000000001,5,40.63000000000001,WT
14,15,run_it025_classes.mrcs:z:5/30 - run_it025_classes.mrcs,179.483836,-0.082893,5,39.22,WT
15,16,run_it025_classes.mrcs:z:5/30 - run_it025_classes.mrcs,-0.502582,0.037926999999999995,5,40.28,WT
16,17,run_it025_classes.mrcs:z:5/30 - run_it025_classes.mrcs,0.0,-0.093635,5,42.75,WT
17,18,run_it025_classes.mrcs:z:5/30 - run_it025_classes.mrcs,0.0,0.01433,5,39.22,WT
18,19,run_it025_classes.mrcs:z:5/30 - run_it025_classes.mrcs,0.0,0.043996,5,42.05,WT
19,20,run_it025_classes.mrcs:z:7/30 - run_it025_classes.mrcs,0.0,-0.06867000000000001,7,40.99,WT
20,21,run_it025_classes.mrcs:z:7/30 - run_it025_classes.mrcs,0.996348,-0.070743,7,40.64,WT
21,22,run_it025_classes.mrcs:z:7/30 - run_it025_classes.mrcs,0.0,0.117849,7,41.34,WT
22,23,run_it025_classes.mrcs:z:7/30 - run_it025_classes.mrcs,0.0,0.145128,7,40.99,WT
23,24,run_it025_classes.mrcs:z:7/30 - run_it025_classes.mrcs,1.0230299999999999,-0.03698,7,39.58,WT
24,25,run_it025_classes.mrcs:z:7/30 - run_it025_classes.mrcs,1.9920939999999998,-0.00909,7,40.65999999999999,WT
25,26,run_it025_classes.mrcs:z:8/30 - run_it025_classes.mrcs,-8.746162,0.010877,8,41.83,WT
26,27,run_it025_classes.mrcs:z:8/30 - run_it025_classes.mrcs,-8.275893,-0.052894000000000004,8,39.28,WT
27,28,run_it025_classes.mrcs:z:8/30 - run_it025_classes.mrcs,-8.408911999999999,0.052888,8,41.07000000000001,WT
28,29,run_it025_classes.mrcs:z:8/30 - run_it025_classes.mrcs,-8.130102,0.062405999999999996,8,39.98,WT
29,30,run_it025_classes.mrcs:z:8/30 - run_it025_classes.mrcs,-8.337444,-0.046327,8,41.42,WT
30,31,run_it025_classes.mrcs:z:8/30 - run_it025_classes.mrcs,-7.765166000000001,0.12673399999999999,8,39.23,WT
31,32,run_it025_classes.mrcs:z:9/30 - run_it025_classes.mrcs,8.82038,0.11147699999999999,9,41.48,WT
32,33,run_it025_classes.mrcs:z:9/30 - run_it025_classes.mrcs,9.130175999999999,0.080175,9,40.07999999999999,WT
33,34,run_it025_classes.mrcs:z:9/30 - run_it025_classes.mrcs,7.9207399999999994,-0.05466,9,41.02,WT
34,35,run_it025_classes.mrcs:z:9/30 - run_it025_classes.mrcs,8.945382,0.07096000000000001,9,38.63,WT
35,36,run_it025_classes.mrcs:z:9/30 - run_it025_classes.mrcs,9.782407000000001,-0.073008,9,41.59,WT
36,37,run_it025_classes.mrcs:z:9/30 - run_it025_classes.mrcs,8.895857000000001,-0.066302,9,41.13,WT
37,38,run_it025_classes.mrcs:z:11/30 - run_it025_classes.mrcs,-3.7429879999999995,-0.05195,11,37.89,WT
38,39,run_it025_classes.mrcs:z:11/30 - run_it025_classes.mrcs,-2.9609360000000002,-0.048027999999999994,11,41.04,WT
39,40,run_it025_classes.mrcs:z:11/30 - run_it025_classes.mrcs,-2.986637,0.064695,11,40.69,WT
40,41,run_it025_classes.mrcs:z:11/30 - run_it025_classes.mrcs,-3.6084690000000004,-0.039046,11,39.3,WT
41,42,run_it025_classes.mrcs:z:11/30 - run_it025_classes.mrcs,-3.150716,0.096471,11,38.57,WT
42,43,run_it025_classes.mrcs:z:11/30 - run_it025_classes.mrcs,-3.5447660000000005,-0.068514,11,40.0,WT
43,44,run_it025_classes.mrcs:z:12/30 - run_it025_classes.mrcs,-2.55615,-0.050628,12,39.61,WT
44,45,run_it025_classes.mrcs:z:12/30 - run_it025_classes.mrcs,0.0,0.134122,12,39.93,WT
45,46,run_it025_classes.mrcs:z:12/30 - run_it025_classes.mrcs,-1.548158,-0.07897799999999999,12,39.23,WT
46,47,run_it025_classes.mrcs:z:12/30 - run_it025_classes.mrcs,-0.507029,0.009739,12,39.93,WT
47,48,run_it025_classes.mrcs:z:12/30 - run_it025_classes.mrcs,0.0,0.031188,12,39.93,WT
48,49,run_it025_classes.mrcs:z:12/30 - run_it025_classes.mrcs,0.0,0.137485,12,40.99,WT
49,50,run_it025_classes.mrcs:z:19/30 - run_it025_classes.mrcs,1.468801,-0.12046,19,41.349999999999994,WT
50,51,run_it025_classes.mrcs:z:19/30 - run_it025_classes.mrcs,0.996348,0.163638,19,40.64,WT
51,52,run_it025_classes.mrcs:z:19/30 - run_it025_classes.mrcs,0.511556,-0.095062,19,39.57000000000001,WT
52,53,run_it025_classes.mrcs:z:19/30 - run_it025_classes.mrcs,0.493917,-0.033868,19,40.99,WT
53,54,run_it025_classes.mrcs:z:19/30 - run_it025_classes.mrcs,0.9793200000000001,0.14039000000000001,19,41.349999999999994,WT
54,55,run_it025_classes.mrcs:z:19/30 - run_it025_classes.mrcs,0.498212,-0.115183,19,40.63000000000001,WT
55,56,run_it025_classes.mrcs:z:20/30 - run_it025_classes.mrcs,-1.0230299999999999,-0.076061,20,39.58,WT
56,57,run_it025_classes.mrcs:z:20/30 - run_it025_classes.mrcs,0.0,-0.035331,20,38.51,WT
57,58,run_it025_classes.mrcs:z:20/30 - run_it025_classes.mrcs,0.0,0.122147,20,38.16,WT
58,59,run_it025_classes.mrcs:z:20/30 - run_it025_classes.mrcs,-1.0050860000000001,-0.038942000000000004,20,40.29,WT
59,60,run_it025_classes.mrcs:z:20/30 - run_it025_classes.mrcs,-1.494334,-0.0018739999999999998,20,40.65,WT
60,61,run_it025_classes.mrcs:z:20/30 - run_it025_classes.mrcs,-0.996348,0.105952,20,40.64,WT
61,62,run_it025_classes.mrcs:z:21/30 - run_it025_classes.mrcs,-1.0050860000000001,-0.041539,21,40.29,WT
62,63,run_it025_classes.mrcs:z:21/30 - run_it025_classes.mrcs,-2.675427,-0.042739,21,37.85,WT
63,64,run_it025_classes.mrcs:z:21/30 - run_it025_classes.mrcs,-1.9920939999999998,0.096839,21,40.65999999999999,WT
64,65,run_it025_classes.mrcs:z:21/30 - run_it025_classes.mrcs,-3.012788,0.013359999999999999,21,40.34,WT
65,66,run_it025_classes.mrcs:z:21/30 - run_it025_classes.mrcs,-3.012788,0.032164,21,40.34,WT
66,67,run_it025_classes.mrcs:z:21/30 - run_it025_classes.mrcs,-3.483271,0.09765,21,40.71,WT
67,68,run_it025_classes.mrcs:z:22/30 - run_it025_classes.mrcs,7.989327,-0.067398,22,40.67,WT
68,69,run_it025_classes.mrcs:z:22/30 - run_it025_classes.mrcs,5.559947,-0.125854,22,40.12,WT
69,70,run_it025_classes.mrcs:z:22/30 - run_it025_classes.mrcs,8.337444,0.019216999999999998,22,41.42,WT
70,71,run_it025_classes.mrcs:z:22/30 - run_it025_classes.mrcs,5.75826,0.047939999999999997,22,42.26,WT
71,72,run_it025_classes.mrcs:z:22/30 - run_it025_classes.mrcs,6.394398000000001,0.09109400000000001,22,41.24,WT
72,73,run_it025_classes.mrcs:z:22/30 - run_it025_classes.mrcs,5.710593,0.055142,22,42.61,WT
73,74,run_it025_classes.mrcs:z:23/30 - run_it025_classes.mrcs,-1.507436,-0.059493,23,40.29,WT
74,75,run_it025_classes.mrcs:z:23/30 - run_it025_classes.mrcs,-1.374835,-0.108574,23,44.18,WT
75,76,run_it025_classes.mrcs:z:23/30 - run_it025_classes.mrcs,-1.0050860000000001,0.001046,23,40.29,WT
76,77,run_it025_classes.mrcs:z:23/30 - run_it025_classes.mrcs,-1.0050860000000001,0.011197,23,40.29,WT
77,78,run_it025_classes.mrcs:z:23/30 - run_it025_classes.mrcs,-1.032245,0.089152,23,39.23,WT
78,79,run_it025_classes.mrcs:z:23/30 - run_it025_classes.mrcs,-0.493917,-0.007554000000000001,23,40.99,WT
79,80,run_it025_classes.mrcs:z:25/30 - run_it025_classes.mrcs,1.481457,-0.056625,25,41.0,WT
80,81,run_it025_classes.mrcs:z:25/30 - run_it025_classes.mrcs,3.5447660000000005,-0.035461,25,40.0,WT
81,82,run_it025_classes.mrcs:z:25/30 - run_it025_classes.mrcs,3.878525,0.026723,25,41.78999999999999,WT
82,83,run_it025_classes.mrcs:z:25/30 - run_it025_classes.mrcs,3.366461,0.060065999999999994,25,42.12,WT
83,84,run_it025_classes.mrcs:z:25/30 - run_it025_classes.mrcs,3.9793819999999998,-0.048423,25,40.73,WT
84,85,run_it025_classes.mrcs:z:25/30 - run_it025_classes.mrcs,4.553768,-0.003092,25,40.05,WT
85,86,run_it025_classes.mrcs:z:26/30 - run_it025_classes.mrcs,1.468801,-0.028892,26,41.349999999999994,WT
86,87,run_it025_classes.mrcs:z:26/30 - run_it025_classes.mrcs,0.9877600000000001,0.090403,26,40.99,WT
87,88,run_it025_classes.mrcs:z:26/30 - run_it025_classes.mrcs,-178.505666,0.140319,26,40.65,WT
88,89,run_it025_classes.mrcs:z:26/30 - run_it025_classes.mrcs,1.9580669999999998,0.03275,26,41.36,WT
89,90,run_it025_classes.mrcs:z:26/30 - run_it025_classes.mrcs,1.0050860000000001,-0.024586,26,40.29,WT
90,91,run_it025_classes.mrcs:z:26/30 - run_it025_classes.mrcs,0.502582,0.110864,26,40.28,WT
91,92,run_it025_classes.mrcs:z:28/30 - run_it025_classes.mrcs,-0.9628639999999999,-0.0854,28,42.05,WT
92,93,run_it025_classes.mrcs:z:28/30 - run_it025_classes.mrcs,-0.996348,-0.08276499999999999,28,40.64,WT
93,94,run_it025_classes.mrcs:z:28/30 - run_it025_classes.mrcs,-1.0050860000000001,0.009901,28,40.29,WT
94,95,run_it025_classes.mrcs:z:28/30 - run_it025_classes.mrcs,0.5256350000000001,0.169752,28,38.51,WT
95,96,run_it025_classes.mrcs:z:28/30 - run_it025_classes.mrcs,-1.494334,0.14213,28,40.65,WT
96,97,run_it025_classes.mrcs:z:28/30 - run_it025_classes.mrcs,-0.996348,0.113889,28,40.64,WT
0,1,run_it025_classes.mrcs:z:1/30 - run_it025_classes.mrcs,-1.1088120000000001,-0.107624,1,41.08,t8v
1,2,run_it025_classes.mrcs:z:1/30 - run_it025_classes.mrcs,-0.739259,0.098138,1,41.08,t8v
2,3,run_it025_classes.mrcs:z:1/30 - run_it025_classes.mrcs,-1.507436,-0.070641,1,40.29,t8v
3,4,run_it025_classes.mrcs:z:1/30 - run_it025_classes.mrcs,-0.36493600000000004,-0.050874,1,41.61,t8v
4,5,run_it025_classes.mrcs:z:1/30 - run_it025_classes.mrcs,0.0,0.138996,1,40.81,t8v
5,6,run_it025_classes.mrcs:z:1/30 - run_it025_classes.mrcs,-0.37204499999999996,-0.047820999999999995,1,40.81,t8v
6,7,run_it025_classes.mrcs:z:2/30 - run_it025_classes.mrcs,0.678025,-0.023306999999999998,2,44.790000000000006,t8v
7,8,run_it025_classes.mrcs:z:2/30 - run_it025_classes.mrcs,0.70298,0.12403099999999999,2,43.2,t8v
8,9,run_it025_classes.mrcs:z:2/30 - run_it025_classes.mrcs,0.0,-0.045933999999999996,2,41.07000000000001,t8v
9,10,run_it025_classes.mrcs:z:2/30 - run_it025_classes.mrcs,-0.37694,0.068622,2,40.28,t8v
10,11,run_it025_classes.mrcs:z:2/30 - run_it025_classes.mrcs,1.961418,0.093363,2,38.71,t8v
11,12,run_it025_classes.mrcs:z:2/30 - run_it025_classes.mrcs,1.15345,-0.022791,2,39.49,t8v
12,13,run_it025_classes.mrcs:z:3/30 - run_it025_classes.mrcs,1.497588,0.08668,3,40.56,t8v
13,14,run_it025_classes.mrcs:z:3/30 - run_it025_classes.mrcs,3.366461,-0.10910399999999999,3,40.62,t8v
14,15,run_it025_classes.mrcs:z:3/30 - run_it025_classes.mrcs,1.88405,-0.108258,3,40.3,t8v
15,16,run_it025_classes.mrcs:z:3/30 - run_it025_classes.mrcs,2.1885830000000004,-0.020449000000000002,3,41.64,t8v
16,17,run_it025_classes.mrcs:z:3/30 - run_it025_classes.mrcs,2.231175,0.126228,3,40.839999999999996,t8v
17,18,run_it025_classes.mrcs:z:3/30 - run_it025_classes.mrcs,1.88405,-0.041982,3,40.3,t8v
18,19,run_it025_classes.mrcs:z:4/30 - run_it025_classes.mrcs,0.36727600000000005,-0.12291500000000001,4,41.34,t8v
19,20,run_it025_classes.mrcs:z:4/30 - run_it025_classes.mrcs,1.11601,0.08623099999999999,4,40.82,t8v
20,21,run_it025_classes.mrcs:z:4/30 - run_it025_classes.mrcs,0.395137,-0.12150599999999999,4,38.43,t8v
